location,rating,name,latitude,longitude
Arden,5,Art & Design by R Sauer,32.7357,97.1081
Arlington,5,OcarinaCnG,32.7357,97.1081
Arlington,5,OcarinaCnG,32.7357,97.1081
Arlington,5,OcarinaCnG,32.7357,97.1081
Arlington,5,OcarinaCnG,32.7357,97.1081
Arlington,5,OcarinaCnG,32.7357,97.1081
Arlington,5,OcarinaCnG,32.7357,97.1081
Arlington,5,OcarinaCnG,32.7357,97.1081
Arlington,5,OcarinaCnG,32.7357,97.1081
Arlington,5,OcarinaCnG,32.7357,97.1081
Arlington,5,OcarinaCnG,32.7357,97.1081
Arlington,5,OcarinaCnG,32.7357,97.1081
Atlanta,4.8,Best Academic Writing,33.749,84.388
Atlanta,4.8,Best Academic Writing,33.749,84.388
Atlanta,4.8,Best Academic Writing,33.749,84.388
Atlanta,4.8,Best Academic Writing,33.749,84.388
Atlanta,4.8,Best Academic Writing,33.4735,82.0105
Augusta,4.9,Paul Joyner,33.4735,82.0105
Augusta,5,mmbertasi,33.4735,82.0105
Austin,5,Joseph Cardwell,30.2672,97.7431
Austin,4.7,MultiverseSol,30.2672,97.7431
Austin,5,Joseph Cardwell,30.2672,97.7431
Austin,4.7,MultiverseSol,30.2672,97.7431
Austin,4.9,Jessicahendircks,30.2672,97.7431
Blaine,4.9,opencollar,48.9937,122.7471
Blaine,4.9,opencollar,48.9937,122.7471
Blaine,4.9,opencollar,48.9937,122.7471
Blaine,4.9,opencollar,48.9937,122.7471
Blaine,4.9,opencollar,48.9937,122.7471
Blaine,4.9,opencollar,48.9937,122.7471
Blaine,4.9,opencollar,48.9937,122.7471
Brooklyn,5,Sam Michael,40.6782,73.9442
Brooklyn,5,Sam Michael,40.6782,73.9442
Campbell,4.8,Tudip Technologies,37.2872,121.95
Campbell,4.8,Tudip Technologies,37.2872,121.95
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Champaign,4.8,Illinek,40.1164,88.2434
Charlotte,5,The_Drawing_Board,35.2271,80.8431
Chicago,4.9,I-Creative Tech,41.8781,87.6298
Chino Valley,4.9,GrafixWiz Graphic Design,34.7575,112.4538
CLEVELAND,4.8,NovaStudios,41.4993,81.6944
CLEVELAND,4.8,NovaStudios,41.4993,81.6944
CLEVELAND,4.8,NovaStudios,41.4993,81.6944
CLEVELAND,4.8,NovaStudios,41.4993,81.6944
CLEVELAND,4.8,NovaStudios,41.4993,81.6944
CLEVELAND,4.8,NovaStudios,41.4993,81.6944
CLEVELAND,4.8,NovaStudios,41.4993,81.6944
CLEVELAND,4.8,NovaStudios,41.4993,81.6944
CLEVELAND,4.8,NovaStudios,41.4993,81.6944
CLEVELAND,4.8,NovaStudios,41.4993,81.6944
CLEVELAND,4.8,NovaStudios,41.4993,81.6944
CLEVELAND,4.8,NovaStudios,41.4993,81.6944
CLEVELAND,4.8,NovaStudios,41.4993,81.6944
CLEVELAND,4.8,NovaStudios,41.4993,81.6944
Columbia,5,Rohit Gupta,34.0007,81.0348
Columbia,5,Rohit Gupta,34.0007,81.0348
Columbia,5,Rohit Gupta,34.0007,81.0348
Columbia,5,Rohit Gupta,34.0007,81.0348
Columbia,5,Rohit Gupta,34.0007,81.0348
Columbia,5,Rohit Gupta,34.0007,81.0348
Costa Mesa,4.8,iGT Tech,33.6411,117.9187
Costa Mesa,4.8,iGT Tech,33.6411,117.9187
Costa Mesa,4.8,iGT Tech,33.6411,117.9187
Cupertino,4.9,cupertinovw-Jay,37.323,122.0322
Cupertino,4.9,cupertinovw-Jay,37.323,122.0322
Cupertino,4.9,cupertinovw-Jay,37.323,122.0322
Denver,5,Ta0soft,39.7392,104.9903
Denver,5,Ta0soft,39.7392,104.9903
Denver,5,Ta0soft,39.7392,104.9903
Denver,5,Ta0soft,39.7392,104.9903
Denver,5,Ta0soft,39.7392,104.9903
Denver,5,Ta0soft,39.7392,104.9903
Denver,5,kuma1030,39.7392,104.9903
El Paso,5,Gabriel Gonzalez,31.7619,106.485
El Paso,5,Gabriel Gonzalez,31.7619,106.485
El Paso,5,Gabriel Gonzalez,31.7619,106.485
El Paso,5,Gabriel Gonzalez,31.7619,106.485
Euless,4.7,Rahim Khan,32.8371,97.082
Euless,4.7,Rahim Khan,32.8371,97.082
Euless,4.7,Rahim Khan,32.8371,97.082
Euless,4.7,Rahim Khan,32.8371,97.082
Euless,4.7,Rahim Khan,32.8371,97.082
Euless,4.7,Rahim Khan,32.8371,97.082
Euless,4.7,Rahim Khan,32.8371,97.082
Euless,4.7,Rahim Khan,32.8371,97.082
Fairfax,5,Amyn Virani,38.8462,77.3064
Fairfax,5,Amyn Virani,38.8462,77.3064
Fairfax,5,Amyn Virani,38.8462,77.3064
Fairfax,5,Amyn Virani,38.8462,77.3064
Fairfax,5,Amyn Virani,38.8462,77.3064
Fairfax,5,Amyn Virani,38.8462,77.3064
Farmers Branch,5,Hector Ayala,32.9265,96.8961
farmington,4.7,Website/Graphic Designer,36.7281,108.2187
farmington,4.7,Website/Graphic Designer,36.7281,108.2187
Gainesville,4.9,helmot,29.6516,82.3248
Gainesville,4.9,helmot,29.6516,82.3248
Gainesville,4.9,helmot,29.6516,82.3248
Gainesville,4.9,helmot,29.6516,82.3248
Gainesville,4.9,helmot,29.6516,82.3248
Germantown,4.9,mahtab7,39.1732,77.2717
Germantown,4.9,mahtab7,39.1732,77.2717
Germantown,4.9,mahtab7,39.1732,77.2717
Germantown,4.9,mahtab7,39.1732,77.2717
Germantown,4.9,mahtab7,39.1732,77.2717
Gilbert,5,MaxDongell,33.3528,111.789
Gilbert,5,MaxDongell,33.3528,111.789
Glen Elder,4.9,James Walpole,39.4986,98.3087
Glen Elder,4.9,James Walpole,39.4986,98.3087
Glen Elder,4.9,James Walpole,39.4986,98.3087
Glendale,5,Smbat Minasyan,34.1425,118.2551
Glendale,5,Smbat Minasyan,34.1425,118.2551
glendale,4.9,A CPA ABROAD,34.1425,118.2551
Glendale,5,Smbat Minasyan,34.1425,118.2551
