location,rating,name,review_count,latitude,longitude
Atlanta,4.8,Best Academic Writing,54,33.749,-84.388
Atlanta,4.8,Best Academic Writing,54,33.749,-84.388
Atlanta,4.8,Best Academic Writing,54,33.749,-84.388
Augusta,5,mmbertasi,106,33.4735,-82.0105
Augusta,4.9,Paul Joyner,15,33.4735,-82.0105
Austin,5,Joseph Cardwell,35,30.2672,-97.7431
Austin,4.7,MultiverseSol,29,30.2672,-97.7431
Bedford,5,VoiceoverMike,174,30.2672,-97.7431
Boca Raton,5,Level 6 LLC,10,48.9937,-122.7471
Boca Raton,5,Level 6 LLC,10,48.9937,-122.7471
Boca Raton,5,Level 6 LLC,10,48.9937,-122.7471
Boston,5,zdesign77,1,48.9937,-122.7471
Brooklyn,5,Sam Michael,44,40.6782,-73.9442
Brooklyn,5,Sam Michael,44,40.6782,-73.9442
Brooklyn,5,Sam Michael,44,40.6782,-73.9442
Champaign,4.8,Illinek,470,40.1164,-88.2434
Champaign,4.8,Illinek,470,40.1164,-88.2434
Champaign,4.8,Illinek,470,40.1164,-88.2434
Champaign,4.8,Illinek,470,40.1164,-88.2434
Champaign,4.8,Illinek,470,40.1164,-88.2434
Champaign,4.8,Illinek,470,40.1164,-88.2434
Champaign,4.8,Illinek,470,40.1164,-88.2434
Champaign,4.8,Illinek,470,40.1164,-88.2434
Champaign,4.8,Illinek,470,40.1164,-88.2434
Champaign,4.8,Illinek,470,40.1164,-88.2434
Champaign,4.8,Illinek,470,40.1164,-88.2434
Champaign,4.8,Illinek,470,40.1164,-88.2434
Champaign,4.8,Illinek,470,40.1164,-88.2434
Champaign,4.8,Illinek,470,40.1164,-88.2434
Charlotte,5,The_Drawing_Board,10,35.2271,-80.8431
Chicago,4.9,I-Creative Tech,19,41.8781,-87.6298
CLEVELAND,4.8,NovaStudios,590,41.4993,-81.6944
CLEVELAND,4.8,NovaStudios,590,41.4993,-81.6944
CLEVELAND,4.8,NovaStudios,590,41.4993,-81.6944
CLEVELAND,4.8,NovaStudios,590,41.4993,-81.6944
CLEVELAND,4.8,NovaStudios,590,41.4993,-81.6944
CLEVELAND,4.8,NovaStudios,590,41.4993,-81.6944
CLEVELAND,4.8,NovaStudios,590,41.4993,-81.6944
CLEVELAND,4.8,NovaStudios,590,41.4993,-81.6944
CLEVELAND,4.8,NovaStudios,590,41.4993,-81.6944
Columbia,5,Rohit Gupta,5,34.0007,-81.0348
Columbia,5,Rohit Gupta,5,34.0007,-81.0348
Columbia,5,Rohit Gupta,5,34.0007,-81.0348
Coralville,5,Joshua Nathaniel,5,34.0007,-81.0348
Costa Mesa,4.8,iGT Tech,88,33.6411,-117.9187
Costa Mesa,4.8,iGT Tech,88,33.6411,-117.9187
Cupertino,4.9,cupertinovw-Jay,80,37.323,-122.0322
Cupertino,4.9,cupertinovw-Jay,80,37.323,-122.0322
Cupertino,4.9,cupertinovw-Jay,80,37.323,-122.0322
Denver,5,kuma1030,17,39.7392,-104.9903
Denver,5,Ta0soft,126,39.7392,-104.9903
Denver,5,Ta0soft,126,39.7392,-104.9903
Denver,5,Ta0soft,126,39.7392,-104.9903
El Paso,5,Gabriel Gonzalez,26,31.7619,-106.485
El Paso,5,Gabriel Gonzalez,26,31.7619,-106.485
El Paso,5,Gabriel Gonzalez,26,31.7619,-106.485
El Paso,5,Gabriel Gonzalez,26,31.7619,-106.485
Euless,4.7,Rahim Khan,134,32.8371,-97.082
Euless,4.7,Rahim Khan,134,32.8371,-97.082
Euless,4.7,Rahim Khan,134,32.8371,-97.082
Euless,4.7,Rahim Khan,134,32.8371,-97.082
Fairfax,5,Amyn Virani,44,38.8462,-77.3064
Fairfax,5,Amyn Virani,44,38.8462,-77.3064
Fairfax,5,Amyn Virani,44,38.8462,-77.3064
Fairfax,5,Amyn Virani,44,38.8462,-77.3064
Farmers Branch,5,Hector Ayala,4,32.9265,-96.8961
Fort Wayne,4.9,Writer075 Inc.,427,36.7281,-108.2187
Gainesville,4.9,helmot,197,29.6516,-82.3248
Gainesville,4.9,helmot,197,29.6516,-82.3248
Gainesville,4.9,helmot,197,29.6516,-82.3248
Germantown,4.9,mahtab7,101,39.1732,-77.2717
Germantown,4.9,mahtab7,101,39.1732,-77.2717
Germantown,4.9,mahtab7,101,39.1732,-77.2717
Germantown,4.9,mahtab7,101,39.1732,-77.2717
Gilbert,5,MaxDongell,15,33.3528,-111.789
Gilbert,5,MaxDongell,15,33.3528,-111.789
Glen Elder,4.9,James Walpole,121,39.4986,-98.3087
Glen Elder,4.9,James Walpole,121,39.4986,-98.3087
Hollywood,4.9,driverrodrick,61,34.0928,118.3287
Hollywood,4.9,driverrodrick,61,34.0928,118.3287
Hollywood,4.9,driverrodrick,61,34.0928,118.3287
Hollywood,4.9,driverrodrick,61,34.0928,118.3287
Independence,5,robertbarryson,9,39.0911,-94.4155
Indianapolis,5,Shoon Akagi,1,39.7684,-86.1581
Jackson,5,DEVINIUM Tech Team,10,32.2988,-90.1848
Jackson,5,DEVINIUM Tech Team,10,32.2988,-90.1848
Jackson,5,DEVINIUM Tech Team,10,32.2988,-90.1848
Jackson,5,DEVINIUM Tech Team,10,32.2988,-90.1848
Jackson,5,DEVINIUM Tech Team,10,32.2988,-90.1848
Jackson,5,DEVINIUM Tech Team,10,32.2988,-90.1848
Jersey City,5,PhoenixGeek,83,40.7282,-74.0776
Jersey City,5,PhoenixGeek,83,40.7282,-74.0776
Jersey City,5,PhoenixGeek,83,40.7282,-74.0776
Jersey City,5,PhoenixGeek,83,40.7282,-74.0776
Jersey City,5,PhoenixGeek,83,40.7282,-74.0776
Jersey City,5,PhoenixGeek,83,40.7282,-74.0776
johnson city,5,Thoughtfulwrites,455,36.3134,-82.3535
johnson city,5,Thoughtfulwrites,455,36.3134,-82.3535
johnson city,5,Thoughtfulwrites,455,36.3134,-82.3535
johnson city,5,Thoughtfulwrites,455,36.3134,-82.3535
Kansas City,4.9,Gregory Bair,709,39.0997,-94.5786
Kansas City,4.9,Gregory Bair,709,39.0997,-94.5786
Kansas City,4.9,Gregory Bair,709,39.0997,-94.5786
Kansas City,4.9,Gregory Bair,709,39.0997,-94.5786
Kansas City,4.9,Gregory Bair,709,39.0997,-94.5786
Kansas City,4.9,Gregory Bair,709,39.0997,-94.5786
Kansas City,4.9,Gregory Bair,709,39.0997,-94.5786
Katy,5,Pernia Qamar,2,29.7858,95.8244
lakewood ranch,5,certaintly,280,27.4117,-82.4285
lakewood ranch,5,certaintly,280,27.4117,-82.4285
lakewood ranch,5,certaintly,280,27.4117,-82.4285
Liberty Township,5,SehreenS,79,42.8864,-78.8784
Liberty Township,5,SehreenS,79,42.8864,-78.8784
Lombard,4.5,Golpik,14,41.88,-88.0078
Los Angeles,5,Dawn - IT,32,34.0522,-118.2437
Los Angeles,5,Dawn - IT,32,34.0522,-118.2437
Los Angeles,5,Dawn - IT,32,34.0522,-118.2437
Los Angeles,5,Dawn - IT,32,34.0522,-118.2437
Los Angeles,5,Dawn - IT,32,34.0522,-118.2437
Markham,5,Randel G. Smith,16,42.8864,-78.8784
Meridian,5,NT Productions,50,42.8864,-78.8784
MORRISVILLE,4.9,Devon Drynoch,35,42.8864,-72.5984
MORRISVILLE,4.9,Devon Drynoch,35,42.8864,-72.5984
Morrisville,5,SVVP24,2,42.8864,-72.5984
Buffalo,5,point2pont,129,42.8864,-78.8784
Buffalo,5,point2pont,129,42.8864,-78.8784
Buffalo,5,point2pont,129,42.8864,-78.8784
Buffalo,5,point2pont,129,42.8864,-78.8784
New York,5,Holly,43,40.7128,-74.0059
new york,4.4,leodesigner,32,40.7128,-74.0059
New York,4.7,Mystie Chamberlin,12,40.7128,-74.0059
New York,4.8,Online Content Writer,252,40.7128,-74.0059
New York,4.8,Paul Words,124,40.7128,-74.0059
New York,5,Pro Artist New York,471,40.7128,-74.0059
New York,4.3,vineetasaxena,177,40.7128,-74.0059
New York,4.6,Annie Studio,119,40.7128,-74.0059
Newark,5,"Web, Mobile Apps, Desktop",128,40.7357,-74.1724
Newark,5,"Web, Mobile Apps, Desktop",128,40.7357,-74.1724
Newark,5,"Web, Mobile Apps, Desktop",128,40.7357,-74.1724
Newark,5,"Web, Mobile Apps, Desktop",128,40.7357,-74.1724
Newark,5,"Web, Mobile Apps, Desktop",128,40.7357,-74.1724
Newark,5,"Web, Mobile Apps, Desktop",128,40.7357,-74.1724
Newark,5,"Web, Mobile Apps, Desktop",128,40.7357,-74.1724
Oak Hills,5,UnitedWebSpace,5,34.2381,-118.5301
Oceanside,5,JWasson,3,34.2381,-118.5301
Oklahoma,5,Dhammika Maheshani,36,36.154,-95.9928
Oklahoma,5,Dhammika Maheshani,36,36.154,-95.9928
Omaha,0,kawalsh13,0,41.2524,-95.998
Pearland,4.8,jxsarwar,187,29.5636,-95.286
Pearland,4.8,jxsarwar,187,29.5636,-95.286
Pearland,4.8,jxsarwar,187,29.5636,-95.286
Pearland,4.8,jxsarwar,187,29.5636,-95.286
Pearland,4.8,jxsarwar,187,29.5636,-95.286
Phoenix,5,ruby_SmartBusiness,20,39.9526,-75.1652
PITTSBURG,4.8,Campenhout,77,40.4406,-79.9959
PITTSBURG,4.8,Campenhout,77,40.4406,-79.9959
PITTSBURG,4.8,Campenhout,77,40.4406,-79.9959
PITTSBURG,4.8,Campenhout,77,40.4406,-79.9959
Richardson,4.9,hilaloo86,32,32.9483,-96.7299
Richardson,4.9,hilaloo86,32,32.9483,-96.7299
Rome,5,Jonathan Spratling,21,34.257,-85.1647
Rome,5,Jonathan Spratling,21,34.257,-85.1647
San Jose,5,DavidPon,11,37.3382,-121.8863
San Jose,5,DavidPon,11,37.3382,-121.8863
San Jose,5,DavidPon,11,37.3382,-121.8863
San Jose,5,DavidPon,11,37.3382,-121.8863
San Ramon,5,MelissaVoice,9,37.7799,-121.978
San Ramon,5,MelissaVoice,9,37.7799,-121.978
Seattle,4.7,Expert Academics,89,47.6062,-122.3321
Seattle,4.7,Expert Academics,89,47.6062,-122.3321
Staten Island,5,Xenophon(s) Studio,2,40.5795,-74.1502
Surprise,4.9,Chris Robert,227,33.6292,-112.3679
Surprise,4.9,Chris Robert,227,33.6292,-112.3679
Tamarac,4.9,Q-Protex,78,26.2129,-80.2498
Tamarac,4.9,Q-Protex,78,26.2129,-80.2498
tempe,4.6,The Bug Stops here,191,33.4255,-111.94
tempe,4.6,The Bug Stops here,191,33.4255,-111.94
tempe,4.6,The Bug Stops here,191,33.4255,-111.94
tempe,4.6,The Bug Stops here,191,33.4255,-111.94
Tulsa,5,Blake Connally,12,36.154,-95.9928
Tulsa,5,Blake Connally,12,36.154,-95.9928
Tulsa,5,Blake Connally,12,36.154,-95.9928
Tulsa,5,Blake Connally,12,36.154,-95.9928
Turnersville,5,Matt,50,39.7729,-75.0519
Union City,4.9,MydZnecoz,89,37.5934,-122.0438
Urbandale,5,akh32,13,41.6267,-93.7122
Waterford,0,robin16w,0,41.6267,-93.7122
Waukesha,5,csieg1120,19,43.0117,-88.2315
West Jordan,5,MasterOfNumbers,112,40.6097,-111.9391
West Jordan,5,MasterOfNumbers,112,40.6097,-111.9391
West Jordan,5,MasterOfNumbers,112,40.6097,-111.9391
West Jordan,5,MasterOfNumbers,112,40.6097,-111.9391
Worcester,4.8,TRANSFORM INDESIGN,226,42.2626,-71.8023
Worcester,4.8,TRANSFORM INDESIGN,226,42.2626,-71.8023
Worcester,4.8,TRANSFORM INDESIGN,226,42.2626,-71.8023
Worcester,4.8,TRANSFORM INDESIGN,226,42.2626,-71.8023
Worcester,4.8,TRANSFORM INDESIGN,226,42.2626,-71.8023
Worcester,4.8,TRANSFORM INDESIGN,226,42.2626,-71.8023
Worcester,4.8,TRANSFORM INDESIGN,226,42.2626,-71.8023
York,5,djt72,126,39.9626,-76.7277
